tid,toi,toipfx,ctoi_alias,pl_pnum,st_tmag,st_tmagsymerr,ra,dec,st_pmra,st_pmrasymerr,st_pmdec,st_pmdecsymerr,pl_tranmid,pl_tranmidsymerr,pl_orbper,pl_orbpersymerr,pl_trandurh,pl_trandurhsymerr,pl_trandep,pl_trandepsymerr,pl_rade,pl_radesymerr,pl_insol,pl_eqt,st_dist,st_distsymerr,st_teff,st_teffsymerr,st_logg,st_loggsymerr,st_rad,st_radsymerr,tess_name
355748785.0,3527.01,3527.0,355748785.01,1.0,12.5298,1.0,300.263522,40.577175,-0.86,1.0,-5.666,1.0,2459770.662859,1.0,1.755115,1.0,2.3819547,1.0,7747.1683435,1.0,33.1493745,1.0,7316.7400883,2358.8436545,974.576,1.0,5889.0,1.0,3.71,1.0,2.4012699,1.0,TOI-3527.01
468777766.0,3750.01,3750.0,468777766.01,1.0,12.9865,1.0,76.423773,67.820318,8.267,1.0,-20.118,1.0,2458826.425862,1.0,12.4844641,1.0,2.827,1.0,17130.0,1.0,8.49489,1.0,7.652,463.0,156.504,1.0,3815.0,1.0,4.63,1.0,0.63,1.0,TOI-3750.01
269278156.0,4745.01,4745.0,269278156.01,1.0,13.1524,1.0,104.738312,7.944615,-0.487,1.0,-0.456,1.0,2459220.372965,1.0,4.413935,1.0,2.604,1.0,10370.0,1.0,13.3105,1.0,293.437,1153.0,898.386,1.0,5972.0,1.0,4.33,1.0,1.28,1.0,TOI-4745.01
270406298.0,5325.01,5325.0,270406298.01,1.0,12.0261,1.0,32.912647,4.192318,9.774,1.0,14.188,1.0,2459498.292378,1.0,15.057596,1.0,1.385,1.0,5380.0,1.0,7.19514,1.0,8.48258,475.0,339.049,1.0,5948.0,1.0,4.54,1.0,0.92,1.0,TOI-5325.01
297361900.0,4366.01,4366.0,297361900.01,1.0,10.1441,1.0,180.29815,-67.760233,4.018,1.0,8.296,1.0,2460092.634307,1.0,2.6374449,1.0,1.661,1.0,495.0,1.0,4.35478,1.0,264.845,1123.0,245.444,1.0,5355.0,1.0,3.82,1.0,1.96,1.0,TOI-4366.01
334632624.0,4361.01,4361.0,334632624.01,1.0,8.6661,1.0,141.347664,-15.922146,66.673,1.0,-59.705,1.0,2458520.648063,1.0,741.4238314,1.0,5.2389454,1.0,503.5494079,1.0,2.776093,1.0,0.6112378,225.5133746,98.2063,1.0,5944.0,1.0,4.30249,1.0,1.22039,1.0,TOI-4361.01
256722647.0,4329.01,4329.0,256722647.01,1.0,11.8832,1.0,329.563915,71.131605,4.416,1.0,0.468,1.0,2459855.156794,1.0,2.9224661,1.0,5.5560255,1.0,5724.017673,1.0,20.8842189,1.0,3990.5716341,2027.1156538,717.128,1.0,5520.0,1.0,3.55,1.0,2.7442901,1.0,TOI-4329.01
230856987.0,7023.01,7023.0,230856987.01,1.0,13.1587,1.0,312.781068,34.440642,-1.592,1.0,-5.441,1.0,2460365.559902,1.0,2.3404152,1.0,2.522,1.0,11265.0,1.0,13.0087,1.0,1539.65,1745.0,879.003,1.0,6686.0,1.0,4.34,1.0,1.33,1.0,TOI-7023.01
291469139.0,4828.01,4828.0,291469139.01,1.0,13.351,1.0,111.14992,-48.619915,4.468,1.0,-18.01,1.0,2459265.674593,1.0,19.0286016,1.0,3.938,1.0,8910.0,1.0,8.13514,1.0,13.7261,536.0,332.884,1.0,4733.0,1.0,4.5,1.0,0.81,1.0,TOI-4828.01
441730540.0,4025.01,4025.0,441730540.01,1.0,13.3177,1.0,257.448863,77.485328,-1.806,1.0,-2.549,1.0,2459826.494303,1.0,16.2840915,1.0,6.45,1.0,4600.0,1.0,7.99273,1.0,121.312,924.0,769.204,1.0,5770.0,1.0,4.29,1.0,1.2,1.0,TOI-4025.01
